phrase, score
shall remember them, 4
shall you begin, 4
shall you truly, 4
shall claim your, 4
shall always be, 4
shall wear purple, 4
forget someone who, 4
forget what we, 4
fi sunny days, 4
side but always, 4
side hand in, 4
brightly in our, 4
led to the, 4
led him to, 4
where you are, 4
where you often, 4
where i'm going, 4
where she loved, 4
where he loved, 4
you're here leave, 4
you're in my, 4
blue sky above, 4
tears that she, 4
tears count your, 4
tears still flow, 4
could ever have, 4
could ever wish, 4
could wish for, 4
right honourable w, 4
heaven in a, 4
cat & mutton, 4
teacher who loved, 4
teacher who inspired, 4
teacher volunteer and, 4
tell you all, 4
21 years always, 4
1941 - 1997, 4
1941 - 1993, 4
1941 - 21st, 4
1941 - 2014, 4
1941 - 2012, 4
1941 - 24th, 4
1941 - 2010, 4
obe dl who, 4
obe who loved, 4
obe solicitor edinburgh, 4
mayoress of lichfield, 4
mayoress of castle, 4
sacrificed to male, 4
joe and joan, 4
fond memories from, 4
fond remembrance of, 4
fond kiss and, 4
fond loving memory, 4
colleague and good, 4
colleague who loved, 4
colleague who was, 4
office as mayor, 4
office of councillor, 4
"my favourite place, 4
ives a special, 4
audrey and lawrence, 4
audrey 20th may, 4
audrey & gordon, 4
s a 1987, 4
university of birmingham, 4
university of glasgow, 4
university a lad, 4
yrs he loved, 4
warwick town council, 4
lifelong service to, 4
lifelong member of, 4
bert and gwen, 4
bert and peggy, 4
truly loved and, 4
truly loved by, 4
truly wonderful man, 4
truly remarkable woman, 4
truly leave us, 4
truly missed by, 4
truly special person, 4
milly bacon for, 4
bacon for all, 4
nichola (nicky) bacon, 4
angel who will, 4
lesley patricia counter, 4
patricia counter (nee), 4
patricia kumar (1937, 4
patricia kong 511947, 4
counter (nee) bacon, 4
(nee) bacon your, 4
things you did, 4
things come to, 4
things i cannot, 4
things i can, 4
things that you, 4
things that make, 4
things will come, 4
things stand like, 4
did you want?, 4
did much to, 4
christopher george patey-round, 4
28th february 2015, 4
28th february 2017, 4
28th july 1999, 4
28th october 2016, 4
final resting place, 4
true friend -, 4
true gentleman who, 4
true gentleman of, 4
its people for, 4
its environs from, 4
its not the, 4
its two wings, 4
its peace and, 4
jennifer booth 14, 4
mom and nan, 4
mom wife sister, 4
thanks to our, 4
thanks to god, 4
thanks to those, 4
thanks to money, 4
thanks for many, 4
thanks be to, 4
little while a, 4
little star how, 4
little boy who, 4
little ray of, 4
little jokes we, 4
little tribute small, 4
little she is, 4
little but gave, 4
hold your hand, 4
hold infinity in, 4
knowing you are, 4
near and far, 4
1932 - 2009, 4
1932 - 1997, 4
1932 - 1996, 4
1932 - 2008, 4
1932 - 12th, 4
1932 - may, 4
1932 - 1989, 4
1932 - 1992, 4
1932 - 2003, 4
1932 - 1982, 4
how they shine, 4
how we love, 4
how much you, 4
how sweet the, 4
how i wonder, 4
how to live, 4
how he loved, 4
how oft hereafter, 4
roses i make, 4
shone like the, 4
dark look for, 4
kevin john durrant, 4
too soon in, 4
too soon sadly, 4
too soon forever, 4
too soon from, 4
too soon and, 4
too soon with, 4
too soon never, 4
too precious to, 4
too the ward, 4
too good to, 4
soon sadly missed, 4
soon but will, 4
soon but never, 4
soon forever in, 4
soon never forgotten, 4
herbert a hinton, 4
holidays in bude, 4
holidays here you, 4
holidays here with, 4
uren and his, 4
reg coffin who, 4
reg pearce 1917, 4
fun bring me, 4
sally to my, 4
buntine i hear, 4
hear your voice, 4
hear your laughter, 4
hear us when, 4
think of it, 4
think of things, 4
think of times, 4
think about the, 4
think we're far, 4
sunny days with, 4
sunny days here, 4
kimmy warmly remembered, 4
ellis much loved, 4
ellis founders and, 4
uncle who loved, 4
uncle & friend, 4
uncle dick great, 4
uncle sadly missed, 4
uncle ronald jones, 4
uncle forever in, 4
gill 1950 -, 4
albert steele osborne, 4
albert and doreen, 4
albert and margaret, 4
albert f barclay, 4
albert joules 2571929, 4
king who loved, 4
king and country, 4
wonder at the, 4
wonder what you, 4
nan and family, 4
nan sister &, 4
nan always loved, 4
nan sadly missed, 4
cowper first commissioner, 4
beside us here, 4
beside me and, 4
beside the canal, 4
beside the river, 4
beside you there", 4
everyday by your, 4
everyday in loving, 4
everyday from all, 4
adams 1938 -, 4
cared for those, 4
pain of losing, 4
pain free now, 4
20th may 2005, 4
20th june 1922, 4
20th april 2012, 4
must always remember, 4
m davies 1952, 4
m queen elizabeth, 4
m fletcher may, 4
bridge was presented, 4
can enjoy the, 4
can sit with, 4
can sit and, 4
can sit here, 4
can still hear, 4
can no longer, 4
can shed tears, 4
can show to, 4
can make us, 4
try to keep, 4
(1955 - 2014), 4
dogs in this, 4
dogs in the, 4
dogs that have, 4
such a short, 4
such wealth brings, 4
bradley of dorset, 4
taken before her, 4
taken on the, 4
taken away from, 4
taken far too, 4
taken so suddenly, 4
before the walk, 4
before always in, 4
johnson who loved, 4
johnson 1920 -, 4
francis william beech, 4
francis 1897-1987 who, 4
francis family 1931-2019, 4
francis bayes they, 4
florence and george, 4
closed my eyes, 4
closed your eyes, 4
35 years of, 4
grandmother and sister, 4
grandmother and great-grandmother, 4
grandmother & great-grandmother, 4
grandmother great grandmother, 4
grandmother friend and, 4
grandmother she will, 4
grandmother great-grandmother and, 4
grandmother never forgotten, 4
grandmother who gave, 4
grandmother who loved, 4
grandmother enjoy the, 4
grandmother sadly missed, 4
bryan (bunty) who, 4
bryan a crawford, 4
1955 - 2014, 4
1955 - 2013, 4
1955 - 2007, 4
1955 - 1994, 4
1955 - 1988, 4
moments in these, 4
called to say, 4
called home 11-7-1953-16-4-2013, 4
gilbert a gentle, 4
gilbert and sullivan, 4
marjorie m crawford, 4
superintendent of whipsnade, 4
19th july 1952, 4
1904 - 1973, 4
1904 - 1984, 4
1904 - 1995, 4
1984 - 2008, 4
1984 - 2002, 4
1974 - 2006, 4
1974 - 2018, 4
1974 in memory, 4
1974 in loving, 4
sylvia & family, 4
sylvia jim catherine, 4
sylvia kirk dec, 4
meet again" 9/4/76, 4
jr who loved, 4
65 sadly missed, 4
violet & george, 4
violet joan baker, 4
maud daley 090731, 4
1917 - 2016, 4
1917 - 1990, 4
1917 - 1981, 4
1917 - 1995, 4
1917 - 2015, 4
1917 - 2017, 4
1917 - 1996, 4
1917 - 1987, 4
1917 - 1999, 4
1917 - 2011, 4
1917 - 2009, 4
1917 - 2012, 4
1917 - 2003, 4
1917 - 2005, 4
1917 ~ 2009, 4
nigel kenneth wood, 4
tomorrow starts without, 4
mbe gifted by, 4
mbe frics in, 4
mbe a very, 4
mbe 1934 -, 4
mbe chairman of, 4
2014 a true, 4
2014 a lifelong, 4
2014 a life, 4
2014 those we, 4
2014 by his, 4
2014 by the, 4
2014 "who loved, 4
2014 'always in, 4
2014 she was, 4
2014 he loved, 4
2014 lifelong resident, 4
2014 aged 68, 4
2014 loving husband, 4
2014 your life, 4
2014 beloved husband, 4
2014 of ravensbourne, 4
2014 wife of, 4
1926 - 1994, 4
1926 - 1997, 4
1926 - 2015, 4
1926 - 4th, 4
(1931 - 2005), 4
1903 - 1982, 4
1903 - 1997, 4
1903 - 1987, 4
1903 - 1983, 4
1976 presented by, 4
1976 in memory, 4
6 30 -, 4
river and nature, 4
river an audio, 4
river of flowers, 4
thames run softly, 4
2012 loved and, 4
2012 never forgotten, 4
2012 a loving, 4
2012 a favourite, 4
2012 a wonderful, 4
2012 who lived, 4
2012 and her, 4
2012 in loving, 4
2012 he loved, 4
2012 sadly missed, 4
affectionate memories of, 4
joan and john, 4
joan and philip, 4
joan and maurice, 4
joan & jim, 4
joan & ernie, 4
joan loved this, 4
joan bowler 1923, 4
joan weaver (1921-1990), 4
joan baker who, 4
joan who loved, 4
(1921 - 2000), 4
(1921 - 2014), 4
(1921 - 1997), 4
en souvenir de, 4
en mémoire de, 4
en pust i, 4
maurice g low, 4
julian audrey mark, 4
tom and gladys, 4
tom & joan, 4
tom & ellen, 4
tom milcoy a, 4
engineering officer paul, 4
1930 - 2012, 4
1930 - 1998, 4
1930 - 25, 4
1930 - 2004, 4
1930 - 2006, 4
1930 - 1991, 4
1930 - 18th, 4
1930 ~ 2008, 4
1930 – 2011, 4
eleanor cooke 1953-2010, 4
deeply missed always, 4
deeply missed but, 4
deeply missed never, 4
ron and val, 4
ron and vera, 4
ron & joan, 4
ron waldron who, 4
1936 - 2012, 4
1936 - 1997, 4
1936 - 2nd, 4
1936 - 2007, 4
1936 - sept, 4
1936 - 1993, 4
1936 - 5th, 4
1936 - 2008, 4
1936 - 2002, 4
1936 - 1980, 4
1936 - 2005, 4
1936 - 2011, 4
1936 - 2018, 4
1936 - 2020, 4
burns twice as, 4
burns 1936 -, 4
21st may 2001, 4
21st april 2016, 4
21st july 2016, 4
21st february 2013, 4
1960 - 2011, 4
1960 - 2016, 4
1960 - 2018, 4
new jersey usa, 4
new york in, 4
new year's day, 4
bennett parent governor, 4
bennett 1928 -, 4
price who loved, 4
price in loving, 4
9th april 1998, 4
1934 - 2003, 4
1934 - 2010, 4
1934 - 2007, 4
1934 - 2017, 4
1934 - december, 4
adored wife of, 4
adored parents and, 4
adored by his, 4
adored by her, 4
adored father and, 4
1935 - june, 4
1935 - 2008, 4
1935 - 2000, 4
1935 - 1996, 4
1935 - 1975, 4
1935 - 2006, 4
1935 - 2018, 4
1935 ~ 2015, 4
cherished memories will, 4
cherished and loved, 4
cherished and deeply, 4
cherished mother grandmother, 4
cherished brother you, 4
cherished forever in, 4
cherished wife and, 4
aunt forever in, 4
stars and the, 4
stars janette sylvia, 4
shine warm upon, 4
shine on you, 4
evening star and, 4
skies on laughter-silvered, 4
generous gift of, 4
generous heart a, 4
kay mary french, 4
stephen ma graduates, 4
stephen peters 1907-1969, 4
physician the royal, 4
eric and winifred, 4
emily jayne price, 4
1919 ~ 2014, 4
1919 ~ 2003, 4
1919 - 1995, 4
1919 - 1993, 4
1919 - 2006, 4
1919 - 1991, 4
1919 - 1992, 4
1919 - 1997, 4
1919 - 2015, 4
1919 - 2004, 4
1919 1998 james, 4
1931 - 1990, 4
1931 - 1988, 4
1931 - died, 4
1931 - 1994, 4
1931 - 2017, 4
1931 ~ 2010, 4
1931 ~ 2004, 4
1931 ~ 2016, 4
1931 ~ 2006, 4
1931 to 1st, 4
robinson 1923 -, 4
scholar and a, 4
scholar who never, 4
martin ufton nervet, 4
martin he loved, 4
martin hexeberg 30, 4
martin always in, 4
1947 - 2011, 4
1947 - 24th, 4
1947 - 28th, 4
1947 - 2017, 4
1947 - 2016, 4
1947 - 12th, 4
1947 - 4th, 4
1947 - 2014, 4
1947 - 2019, 4
1947 by his, 4
rugby civic society, 4
england and the, 4
england wife mother, 4
1952 - 2nd, 4
1952 - 1999, 4
1952 - 2005, 4
1952 - 2008, 4
1952 - 2009, 4
1952 - 2012, 4
1952 - 2007, 4
1952 - 2016, 4
1952 - 24th, 4
1952 - 2011, 4
1952 e ii, 4
captain w beal, 4
historian and writer, 4
historian who loved, 4
editor of the, 4
rise up to, 4
wind in her, 4
wind in the, 4
back may the, 4
back and enjoy, 4
back inset] les, 4
back together again, 4
back at the, 4
back as a, 4
warm upon your, 4
upon your fields, 4
upon this bench, 4
upon avon branch, 4
face the rains, 4
rains fall soft, 4
rains look for, 4
soft upon your, 4
soft stillness and, 4
fields and until, 4
until we all, 4
until we're together, 4
until the day, 4
ernie barling who, 4
riley 1951 -, 4
1933 - 5th, 4
1933 - 1993, 4
1933 - 2010, 4
1933 - 2011, 4
1933 - 1995, 4
1933 - 1986, 4
1933 - 1977, 4
1933 - 1996, 4
1933 - 29th, 4
1933 - 2019, 4
1933 - 2021, 4
1933 ~ 2010, 4
1933 ~ 2012, 4
erected by public, 4
erected by their, 4
erected as a, 4
erected on behalf, 4
pray for him, 4
townsend 1916 -, 4
daily walks around, 4
1920 - 1975, 4
1920 - 2017, 4
1920 - 1994, 4
1920 - 1988, 4
barnes 1936 -, 4
run softly till, 4
softly till i, 4
find you we, 4
find the peace, 4
find out more, 4
song and sea, 4
jonathan webster 1967, 4
officers and men, 4
officers and airmen, 4
men who served, 4
men of kent, 4
served the people, 4
served the bhoaw, 4
served this parish, 4
served this community, 4
served with the, 4
served and those, 4
students of the, 4
students and staff, 4
members of glastonbury, 4
members of this, 4
members commemorated 26th, 4
members past and, 4
members and passengers, 4
women's royal naval, 4
women's institute in, 4
women's institute movement, 4
or boot' rest, 4
or grow old, 4
college church and, 4
college 2001-2004 this, 4
college society in, 4
stewart - born, 4
1915 - 1996, 4
1915 - july, 4
1915 - 19th, 4
1915 - 1986, 4
1915 - 2011, 4
1915 - 2015, 4
1915 ~ 1994, 4
watching the waves, 4
death is nothing, 4
cannot see you, 4
only live once, 4
only for a, 4
only love zeynep, 4
only here for, 4
i'd walk right, 4
without me don't, 4
patrick joseph corey, 4
doreen hawthorne 1927, 4
loyal member and, 4
loyal service to, 4
loyal and dedicated, 4
pupils staff and, 4
1928-2009 rest awhile, 4
laura in st, 4
inspirational music teacher, 4
funny and kind, 4
south west for, 4
south west coast, 4
west runton rail, 4
west for bideford, 4
west coast path, 4
beyond measure my, 4
beyond measure missed, 4
beyond the sea, 4
beyond words &, 4
measure my world, 4
measure missed beyond, 4
twice as bright, 4
well loved husband, 4
well and all, 4
well laughed often, 4
laugh and talk, 4
laugh and remember, 4
laugh as we, 4
" in loving, 4
come back to, 4
come back again, 4
come to know, 4
come to an, 4
come to pass, 4
come and rest, 4
come rest awhile, 4
come with me, 4
small and tender, 4
granddad & friend, 4
stay with you, 4
stay and rest, 4
stay forever young, 4
stay close to, 4
jayne price -, 4
phillips who always, 4
davies 1952 -, 4
davies 1921 –, 4
davies 1935 -, 4
davies 1946 -, 4
davies 1930 -, 4
i'll miss you, 4
i'll tell you, 4
hilda 1903 -, 4
leonard stanley twinning, 4
leonard careless , 4
"many happy memories, 4
1981 - 28th, 4
1981 and his, 4
1981 1919 -, 4
taupo new zealand, 4
improvements to this, 4
site manager for, 4
funded by donations, 4
queen's own highlanders, 4
queen's diamond jubilee, 4
own highlanders (seaforth, 4
own regiment of, 4
occasion of our, 4
lovell and their, 4
rotary club in, 4
rotary clubs of, 4
heritage of london, 4
heritage lottery fund, 4
heritage towpath trail, 4
town council 2018, 4
town councillor from, 4
town of yarmouth, 4
town of wantage, 4
town seesen in, 4
town team "for, 4
civic society to, 4
civic society and, 4
centre of the, 4
centre in memory, 4
eightieth birthday of, 4
birthday of mrs, 4
birthday memories sandra, 4
majesty by benjamin, 4
queen elizabeth the, 4
queen elizabeth 1977, 4
queen elizabeth ii's, 4
queen elizabeth 1952, 4
queen elizabeth 👑, 4
queen elizabeth il, 4
queen 6th february, 4
majesty's works and, 4
wish to share, 4
wish for you, 4
fritz ebbert aus, 4
one of our, 4
one of their, 4
one of life's, 4
one of his, 4
one day come, 4
one day in, 4
one day i, 4
one another as, 4
one another and, 4
one more angel, 4
one more star, 4
one we loved, 4
one from the, 4
one lives forever, 4
one & only, 4
one clear call, 4
4 may 1932, 4
founders of the, 4
founders mr ken, 4
reed elsevier plc, 4
beach hut owners, 4
o b e, 4
1913 - 1984, 4
1913 - 2012, 4
1913 - 24, 4
1913 - 1983, 4
1913 - 2006, 4
1913 - 1989, 4
1913 - 11th, 4
1913 - 2008, 4
1913 - 2003, 4
1913 - 2011, 4
1913 - 1996, 4
1913 - 2000, 4
1913 - 1988, 4
1913 ~ 2003, 4
1890 - 1972, 4
1898 - 1975, 4
wilma nora ulf, 4
2016) who loved, 4
trust for over, 4
trust in 1944, 4
trust sponsored by, 4
trust presented by, 4
trust ltd and, 4
trust by the, 4
trust working with, 4
trust through the, 4
trust association friends, 4
angela jane hood, 4
read died 25th, 4
1902 - 1985, 4
1902 - 1995, 4
1902 - 1989, 4
1902 - 1984, 4
1902 - 1988, 4
23 years he, 4
23 years old, 4
23 july 2005, 4
1892 - 1973, 4
r a f, 4
r locke &, 4
r coronation 1937, 4
r willcox –, 4
r p s, 4
cleary esq mbe, 4
1893 - 1980, 4
allen and his, 4
allen 1935 -, 4
care of the, 4
care in memory, 4
edie & charlie, 4
peters 1907-1969 to, 4
remembers fondly it's, 4
beneath my wings, 4
beneath my wings", 4
wings were removed, 4
wings south west, 4
sutherland who loved, 4
house 296 vauxhall, 4
bromley reform synagogue, 4
dave butler husband, 4
wi to celebrate, 4
wi in memory, 4
90 years of, 4
90 years service, 4
90 90 90, 4
primary school crayford, 4
vice chairman of, 4
vice president of, 4
vice chancellor for, 4
carnival funds raised, 4
committee members commemorated, 4
committee reverend gordon, 4
committee bob and, 4
committee anne and, 4
committee margery gardiner, 4
committee mr david, 4
committee to commemorate, 4
committee on the, 4
mills in memory, 4
mills sports and, 4
bob & ann, 4
bob and edna, 4
bob and dorothy, 4
bob who loved, 4
supporter and friend, 4
share with monique, 4
share the river, 4
share his love, 4
share her love, 4
monique hunter her, 4
delight in these, 4
30 januar 2015, 4
steve & jill, 4
linda serb schwake, 4
end of an, 4
end it's not, 4
end they simply, 4
beginning out to, 4
public subscription in, 4
public subscription to, 4
public art development, 4
public and was, 4
public buildings 1860, 4
public record office, 4
property corporation ltd, 4
1950 - 18th, 4
1950 - 2003, 4
1950 - 2012, 4
1950 - 2007, 4
1950 - 2001, 4
1950 to 2013, 4
champion of the, 4
mill with stroud, 4
fletcher may 1934, 4
2 october 2006, 4
2 april 2013, 4
13 july 2017, 4
19 november 1948, 4
commemorating 60 years, 4
commemorating 100 years, 4
norah ward died, 4
rowley of cromer, 4
rowley and his, 4
pamela sons-in-law harry, 4
nanny and great, 4
nanny and grandad, 4
nanny and friend, 4
nanny sister 13091939, 4
nanny who loved, 4
1922 - 1990, 4
1922 - 1980, 4
1922 - 23, 4
1922 - 1986, 4
1922 - 10th, 4
1922 - 2015, 4
1922 - 1988, 4
1922 - 2016, 4
1922 - 2019, 4
1922 - 3, 4
1922 - 1992, 4
1922 - 2003, 4
1922 ~ 2013, 4
1922 died in, 4
gift to treasure, 4
gift to all, 4
gift of their, 4
gift of st, 4
gift she was, 4
xx in loving, 4
proud father of, 4
proud grandad of, 4
proud memory of, 4
grandpa he loved, 4
grandpa and great, 4
grandpa and of, 4
grandpa and friend, 4
grandpa always in, 4
grandpa catherine (katie, 4
feet and enjoy, 4
feet are glo-ry, 4
11th 1996 aged, 4
11th may 2015, 4
lucky enough to, 4
than to sit, 4
than you believe, 4
than you seem, 4
than you think, 4
than when in, 4
three seasons social, 4
22 may 2008, 4
22 march 2015, 4
turner who loved, 4
turner donated by, 4
turner residents of, 4
turner ~ aged, 4
turner 1918 -, 4
law of the, 4
"look at that, 4
enjoying the sun, 4
dearest wife and, 4
dearest mum and, 4
dearest mum &, 4
dearest dad and, 4
dearest dad of, 4
mummy wife daughter, 4
after all these, 4
after a long, 4
after each other, 4
after 37 years, 4
stood on old, 4
watched the world, 4
earth and danced, 4
earth and sky, 4
earth through her, 4
earth shall claim, 4
places i remember, 4
grandson forever in, 4
grandson ian dale, 4
grandson mark god, 4
wright 1926 -, 4
wright 1924 -, 4
wright always in, 4
2016 newbury town, 4
2016 a wonderful, 4
2016 a true, 4
2016 a lad, 4
2016 he loved, 4
2016 he will, 4
2016 she loved, 4
2016 beloved husband, 4
2016 beloved wife, 4
2016 thanks to, 4
2016 remembered with, 4
2016 loving wife, 4
2016 loving husband, 4
2016 those we, 4
partner son friend, 4
partner mother &, 4
chief executive of, 4
stretch of river, 4
canal and his, 4
canal donated by, 4
elsie mary smith, 4
elsie and george, 4
elsie parrish (1915, 4
elsie father of, 4
1896 - 1993, 4
1896 - 1981, 4
wood from your, 4
wood 1949-2009 our, 4
marlene day 1948, 4
marlene and vincent, 4
flower beds nearby, 4
flower of memory, 4
don grimes founder, 4
don a tingler, 4
filled with love, 4
let's have another, 4
pam who loved, 4
mackenzie dfc afc, 4
norfolk centre in, 4
guest have a, 4
station best small, 4
23rd march 2011, 4
23rd march 2006, 4
23rd april 1942, 4
watch the waves, 4
watch the children, 4
watch the lifeboat, 4
watch over us, 4
watch between me, 4
mulhere 17th january, 4
brave beyond measure, 4
brave and wonderful, 4
past & present, 4
past present &, 4
past members of, 4
past founders and, 4
past chairman of, 4
present and future, 4
present & future, 4
present day and, 4
durrant 17051957 -, 4
17051957 - 22102014, 4
2015 greatly missed, 4
2015 always in, 4
2015 loving parents, 4
2015 loving wife, 4
2015 a life, 4
2015 an inspirational, 4
2015 we will, 4
2015 much missed, 4
2015 loved to, 4
2015 beloved son, 4
2015 in the, 4
2015 god bless, 4
2015 she loved, 4
2015 she was, 4
2015 powder coated, 4
2015 alle gode, 4
2015 he loved, 4
2015 he spent, 4
2015 he came, 4
2015 donated by, 4
glass of wine, 4
inspired generations of, 4
inspired us all, 4
inspired by the, 4
inspired by these, 4
whitby and the, 4
whitby was a, 4
part of all, 4
part of who, 4
part in the, 4
part god has, 4
scarborough borough council, 4
scarborough liberal association, 4
scarborough was his, 4
scarborough so much, 4
scarborough and spent, 4
scarborough labour party, 4
scarborough branch of, 4
borough of lambeth, 4
borough of reigate, 4
les citoyens du, 4
french 17061928 -, 4
17061928 - 07052014, 4
delighted in the, 4
spare a thought, 4
robin and jane, 4
robin and linda, 4
robin hood's bay, 4
collins in loving, 4
collins who loved, 4
future generations to, 4
waves of the, 4
eternity in an, 4
touched the hearts, 4
touched and always, 4
leaving us memories, 4
jackson 1916 -, 4
jackson who loved, 4
jackson stevens died, 4
say we still, 4
say hello donated, 4
goodbye so hard, 4
goodbye is not, 4
duncombe passed away, 4
73 she loved, 4
relax and enjoy!, 4
relax and take, 4
relax enjoy this, 4
relax enjoy and, 4
relax - reflect, 4
pearson 1898 -, 4
volunteer who loved, 4
volunteer and friend, 4
volunteer in the, 4
nearer gods heart, 4
nearer god’s heart, 4
"sit a while", 4
"sit here and, 4
"sit here a, 4
"sit and enjoy, 4
1928 - 2012, 4
1928 - 2000, 4
1928 - 1984, 4
1928 - 2011, 4
1928 - 1997, 4
1928 - 1992, 4
1928 - 26th, 4
1928 - 1990, 4
1928 - 1991, 4
1928 - 19, 4
1928 - 2018, 4
1928 - 2019, 4
silver jubilee year, 4
silver in his, 4
ii 21st april, 4
ii 👑 silver, 4
ii r 1977, 4
ii in 2002, 4
ii 7th june, 4
kumar (1937 -, 4
church warden and, 4
church warden of, 4
church by the, 4
church social club, 4
church and nicolson, 4
church and village, 4
church edinburgh september, 4
church for over, 4
church halstead in, 4
deputy mayor of, 4
archie g taylor, 4
24 forever in, 4
dean 1938 -, 4
dean 1922 -, 4
garner passed away, 4
hospital london fellow, 4
hospital donated by, 4
provided by rover, 4
provided by public, 4
provided thanks to, 4
provided for your, 4
denison house 296, 4
296 vauxhall bridge, 4
vauxhall bridge road, 4
entirely by voluntary, 4
wellington 1939 -, 4
1940 - 2007, 4
1940 - 2014, 4
1940 - 2012, 4
1940 - 2006, 4
1940 - 2009, 4
1940 - 2011, 4
1940 - 1997, 4
1940 - 2010, 4
1940 - 1986, 4
1940 - 1990, 4
1940 - 2015, 4
1940 - 1984, 4
1940 - 2008, 4
1940 - 2004, 4
works and public, 4
sculpture park for, 4
sounds in the, 4
stillness and the, 4
night become the, 4
become the touches, 4
become part of, 4
touches of sweet, 4
fellow and tutor, 4
fellow officers of, 4
fellow members of, 4
dance with you, 4
dance in the, 4
chapman 1934 -, 4
social club formerly, 4
social committee to, 4
justice much loved, 4
philip turner donated, 4
philip canham born, 4
order of buffaloes, 4
close my eyes, 4
close to heaven, 4
close to nature, 4
close in our, 4
50 years service, 4
50 happy years, 4
steam enthusiast who, 4
railway life member, 4
community for many, 4
community and environment, 4
community and as, 4
community as a, 4
community council to, 4
community council in, 4
community celebrate sustrans, 4
community interest company, 4
community association presented, 4
community planting at, 4
lily and bill, 4
bell who died, 4
bell tower 2014, 4
dec 1919 -, 4
dec 7 2010, 4
dec 1944 13th, 4
dec 1941 -, 4
14th april 2017, 4
14th june 2007, 4
thinks and sometimes, 4
make them bloom, 4
1944 - 7th, 4
1944 - 2013, 4
1944 - 1999, 4
1944 - 2008, 4
1944 - 1998, 4
1944 - 2003, 4
1944 - 2000, 4
1944 - 2009, 4
1944 - 2016, 4
1944 - 2004, 4
1944 - 1991, 4
1944 - 1997, 4
1944 - 2006, 4
1944 - 2018, 4
1944 - 2019, 4
1944 - 9th, 4
1944 ~ 2014, 4
1944 this seat, 4
am the soft, 4
am with you, 4
am a thousand, 4
am not gone, 4
am an old, 4
am god" psalm, 4
am 02 august, 4
am remembering thelma, 4
tide is a, 4
high like a, 4
high in the, 4
gulls are wheeling, 4
sky and give, 4
sky let your, 4
sky at night, 4
shed a tear, 4
flows strong and, 4
sunlight on ripened, 4
square gardens from, 4
christina og bo, 4
/ in memory, 4
full of happiness, 4
full a loving, 4
1910 - 2000, 4
1910 - 1998, 4
1959 - 2000, 4
1959 - 2010, 4
1959 - 2007, 4
1959 - 2018, 4
1959 - 2005, 4
1988 - 28th, 4
1988 age 38, 4
1988 presented by, 4
1988 donated by, 4
buschman 21/05/1945 -, 4
01/04/2012 and margo, 4
margo buschman 21/05/1945, 4
21/05/1945 - 27/02/1999, 4
dundee for over, 4
weeks 1933 ~, 4
cross for bravery, 4
cross disabled club, 4
white founder margaret, 4
white clouds flying, 4
white & white, 4
white one in, 4
manager of the, 4
manager for the, 4
parishioners of st, 4
mary's college society, 4
parish council of, 4
parish council centenary, 4
parish church social, 4
parish church from, 4
parish councillor 1952, 4
parish from his, 4
parish 1955-1959 presented, 4
parish that have, 4
parish september 1999, 4
44 happy years, 4
44 years of, 4
1961 - 1999, 4
1961 - 2011, 4
1961 - 2003, 4
1961 - september, 4
1961 - 1997, 4
1961 - 2009, 4
1961 - 2013, 4
barton always in, 4
warden of this, 4
3 july 2008, 4
lend you for, 4
child of the, 4
hughes 1918 -, 4
hughes 1975 -, 4
way to love, 4
way to the, 4
sat and enjoyed, 4
1954 - 2005, 4
1954 - 2014, 4
1954 - 2000, 4
1954 - 2004, 4
1954 - 2019, 4
1954 - 2007, 4
free hospital london, 4
free from pain, 4
free spirit now, 4
free with the, 4
free now so, 4
nana & great, 4
nana and friend, 4
nana always in, 4
nana sadly missed, 4
weir preservation trust, 4
age 65 sadly, 4
age 38 years, 4
age uk cheshire, 4
age 23 years, 4
matty a loving, 4
1958 - 2009, 4
1958 - 2000, 4
1958 - october, 4
1958 - 2006, 4
1958 to 1988, 4
1958 17th june, 4
"there's no place, 4
whose generous legacy, 4
whose ashes are, 4
whose memory the, 4
whose passion for, 4
whose lives he, 4
whose life and, 4
whose life was, 4
dedication to this, 4
dedication to his, 4
harley dave butler, 4
boy we think, 4
cox 1921 -, 4
lee & donna, 4
lee 1924 -, 4
know where i'm, 4
know her was, 4
know that we, 4
know that i, 4
know the difference, 4
know a place, 4
know him was, 4
know something of, 4
know we'll meet, 4
i'm going from, 4
i'm taking a, 4
i'm always in, 4
i'm all around, 4
going from here, 4
lucy butler vaizey, 4
lucy cartwright 8/10/2004, 4
helped rebuild the, 4
helped to make, 4
helped and those, 4
grateful and loving, 4
claude alexander luttrell, 4
cancer research uk, 4
"love never ends", 4
"love and miss, 4
feeding the squirrels, 4
singing in the, 4
amelia antoine who, 4
antoine who loved, 4
department of sociology, 4
thought of others, 4
"what a wonderful, 4
"what poise what, 4
forever" in memory, 4
ye down and, 4
group of the, 4
leader for many, 4
inspiration to so, 4
booth 14 nov, 4
company and the, 4
scottish ex-boxers association, 4
business floral association, 4
koerner donated by, 4
ice cream alliance, 4
author of the, 4
author who loved, 4
1953 - 2008, 4
1953 - 2015, 4
1953 - 20th, 4
1953 - 2017, 4
1953 - 2010, 4
1953 - 2020, 4
master mariner and, 4
van le all, 4
less travelled by, 4
founded 1970 in, 4
worth the wear, 4
establishment of the, 4
union canal society, 4
hamilton died 2241994, 4
help the war, 4
esq jp for, 4
esq mbe frics, 4
merchant navy association, 4
toronto canada in, 4
